Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Web Hits per Day
Algerian Forest Fires Dataset  	Multivariate	Real	Classification, Regression	244	12		Life	2019-10-22	392	6217	16
Breath Metabolomics	Multivariate, Time-Series	Real	Classification, Clustering	104	1656		Life	2019-11-08	375	2925	8
Horton General Hospital	Multivariate, Time-Series	Integer	Causal-Discovery	139	6		Life	2019-11-13	370	1904	5
UrbanGB, urban road accidents coordinates labelled by the urban center	Univariate	Real	Clustering	360177	2		Computer	2019-11-22	361	1531	4
Gas Turbine CO and NOx Emission Data Set	Multivariate	Real	Regression, Clustering	36733	11		Computer	2019-11-29	354	4015	11
Activity recognition using wearable physiological measurements	Multivariate	Real	Classification	4480	533		Life	2019-12-04	349	3608	10
clickstream data for online shopping	Multivariate, Sequential	Integer, Real	Classification, Regression, Clustering	165474	14		Business	2019-12-09	344	9942	29
CNNpred: CNN-based stock market prediction using a diverse set of variables	Sequential, Time-Series	Real	Classification, Regression	1985	84	Yes	Computer	2019-12-26	327	3317	10
Apartment for rent classified	Multivariate		Classification, Regression, Clustering	10000	22		Business	2019-12-26	327	13634	42
: Simulated Data set of Iraqi tourism places	Multivariate		Classification, Clustering	232	16		Computer	2020-01-10	312	2806	9
Nasarian CAD Dataset	Multivariate		Classification	150	52		Life	2020-02-28	263	1002	4
Monolithic Columns in Troad and Mysia Region	Multivariate	Real	Classification	11	19		Computer	2020-02-08	283	656	2
Bar Crawl: Detecting Heavy Drinking	Multivariate, Time-Series	Real	Classification, Regression	14057567	3		Life	2020-02-24	267	59714	224
Seoul Bike Sharing Demand	Multivariate	Integer, Real	Regression	8760	14		Computer	2020-03-01	261	7874	30
Person Classification Gait Data	Multivariate	Real	Classification	48	321		Computer	2020-03-02	260	1909	7
Shill Bidding Dataset	Multivariate		Classification, Clustering	6321	13		Computer	2020-03-10	252	2549	10
Iranian Churn Dataset	Multivariate	Integer	Classification, Regression	3150	13		Business	2020-04-09	222	5845	26
Unmanned Aerial Vehicle (UAV) Intrusion Detection	Multivariate	Real	Classification	17256	55		Computer	2020-04-12	219	3054	14
Bone marrow transplant: children	Multivariate	Integer, Real	Classification, Regression	187	39	Yes	Life	2020-04-21	210	5546	26
Exasens	Multivariate	Integer	Classification, Clustering	399	4	Yes	Life	2020-04-22	209	7859	38
COVID-19 Surveillance	Multivariate		Classification	14	7		Computer	2020-04-24	207	11731	57
Refractive errors	Multivariate	Integer	Classification	467	79	Yes	Life	2020-04-27	204	1858	9
Shoulder Implant X-Ray Manufacturer Classification	Multivariate	Real	Classification	597	1		Life	2020-05-20	181	4324	24
CLINC150	Text		Classification	23700				2020-05-08	193	2052	11
HCV data	Multivariate	Integer, Real	Classification, Clustering	615	14	Yes	Life	2020-06-10	160	17082	107
Taiwanese Bankruptcy Prediction	Multivariate	Integer	Classification	6819	96		Business	2020-06-28	142	15699	111
South German Credit (UPDATE)	Multivariate	Integer, Real	Classification, Regression, Clustering	1000	21		Business	2020-06-20	150	11822	79
IIWA14-R820-Gazebo-Dataset-10Trajectories		Integer	Regression				Computer	2020-06-09	161	2138	13
Guitar Chords finger positions	Text		Classification	2633	5			2020-06-05	165	8484	51
Russian Corpus of Biographical Texts	Text		Classification	200	2			2020-06-03	167	1514	9
Codon usage	Multivariate		Classification, Clustering	13028	69	Yes	Life	2020-10-03	45	7781	173
Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset	Time-Series	Real	Classification	800	9		Physical	2020-09-03	75	2433	32
